year	age	educ	degree	sex	postlife	happy	life	richwork	news	tvhours	usewww	zodiac	degree3	newsreordered	id	income98	region	vote96	vote00
2002	57	15	1	1	1	2	0	0	2	1	1	5	2	4	139	22	2	 	2
2002	62	16	3	2	2	1	2	0	0	-1	1	12	3	0	140	18	2	1	1
2002	52	14	1	2	0	0	0	0	0	-1	1	9	2	0	141	20	2	2	2
2002	41	12	1	1	0	0	0	0	0	-1	1	8	2	0	142	17	2	1	1
2002	66	16	3	2	1	2	2	0	0	-1	2	3	3	0	143	16	2	 	1
2002	79	12	1	2	0	0	0	0	0	-1	1	12	2	0	144	19	2	1	1
2002	34	12	1	2	0	0	0	0	0	-1	2	4	2	0	145	20	2	2	2
2002	63	12	1	2	0	0	0	0	0	-1	2	12	2	0	146	19	2	2	2
2002	63	12	1	2	8	1	1	1	2	4	2	10	2	4	147	98	2	1	1
2002	38	12	1	2	0	0	0	0	0	-1	1	12	2	0	148	23	2	1	1
2002	74	14	1	1	0	0	0	0	0	-1	2	10	2	0	149	98	2	1	1
2002	71	12	1	2	1	2	2	0	4	4	2	98	2	2	150	15	2	1	1
2002	24	14	1	2	0	0	0	0	0	-1	1	7	2	0	151	22	2	1	1
2002	24	17	3	1	8	1	1	1	4	1	1	9	3	2	152	22	2	1	1
2002	50	18	4	1	1	1	0	0	4	0	1	12	3	2	153	20	2	2	2
2002	54	16	3	1	8	2	2	1	0	-1	1	4	3	0	154	23	2	2	2
2002	70	13	1	2	0	0	0	0	0	-1	1	1	2	0	155	15	2	2	2
2002	81	12	1	1	0	0	0	0	0	-1	2	5	2	0	156	16	2	1	1
2002	38	12	1	1	0	0	0	0	0	-1	1	10	2	0	157	20	2	2	2
2002	36	12	1	2	2	2	2	2	2	3	2	11	2	4	158	14	2	1	1
2002	43	13	1	1	1	1	0	0	1	3	1	6	2	5	159	22	2	1	1
2002	39	12	1	1	8	2	2	2	0	-1	2	12	2	0	160	21	2	1	1
2002	27	12	1	1	0	0	0	0	0	-1	2	2	2	0	161	22	2	1	1
2002	34	15	1	1	0	0	0	0	0	-1	2	3	2	0	162	21	2	1	1
2002	79	12	1	2	0	0	0	0	0	-1	2	6	2	0	163	10	2	2	2
2002	84	12	1	2	2	2	0	0	2	2	2	6	2	4	164	14	2	1	2
2002	71	15	1	1	1	2	1	0	0	-1	2	1	2	0	165	10	2	1	1
2002	22	9	1	1	0	0	0	0	0	-1	2	12	2	0	166	23	2	1	1
2002	36	16	3	2	0	0	0	0	0	-1	1	1	3	0	167	20	2	2	2
2002	44	12	1	2	1	2	2	1	1	1	1	4	2	5	168	24	2	2	2
2002	74	12	1	1	1	3	0	0	1	2	2	3	2	5	169	16	2	1	1
2002	63	16	3	1	1	1	1	2	0	-1	2	2	3	0	170	21	2	1	1
2002	48	12	1	2	0	0	0	0	0	-1	1	3	2	0	171	24	2	2	1
2002	39	16	3	1	0	0	0	0	0	-1	2	12	3	0	172	18	2	 	1
2002	40	14	1	2	0	0	0	0	0	-1	1	10	2	0	173	21	2	 	2
2002	30	14	2	1	1	3	1	1	2	1	1	7	2	4	174	21	2	1	1
2002	36	12	1	2	1	3	0	0	5	1	2	4	2	1	175	21	2	1	1
2002	42	15	2	2	1	1	1	1	0	-1	1	7	2	0	176	24	2	1	1
2002	70	16	3	2	0	0	0	0	0	-1	1	11	3	0	177	18	2	1	1
2002	50	16	3	2	0	0	0	0	0	-1	1	2	3	0	178	23	2	1	1
2002	38	16	3	2	0	0	0	0	0	-1	1	10	3	0	179	98	2	1	1
2002	53	20	4	2	1	3	0	0	4	6	1	11	3	2	180	23	2	1	1
2002	36	18	3	1	0	0	0	0	0	-1	1	11	3	0	181	98	9	1	1
2002	45	14	1	1	1	2	1	2	1	4	1	99	2	5	182	18	9	1	1
2002	99	17	4	2	1	2	0	0	3	3	1	99	3	3	183	22	9	1	1
2002	22	12	1	1	1	2	2	0	2	8	1	6	2	4	184	15	9	1	1
2002	70	16	3	2	2	2	1	1	0	-1	1	5	3	0	185	18	9	2	2
2002	24	11	0	1	1	2	2	0	4	3	2	8	1	2	186	10	9	1	1
2002	99	12	0	2	1	2	0	0	1	3	1	99	1	5	187	4	9	1	1
2002	68	13	1	2	1	2	2	0	0	-1	2	5	2	0	188	8	9	1	1
2002	19	10	0	2	0	0	0	0	0	-1	1	10	1	0	189	98	9	1	1
2002	24	13	1	2	0	0	0	0	0	-1	1	99	2	0	190	10	9	2	1
2002	48	14	1	2	1	2	1	1	5	7	2	5	2	1	191	10	9	1	1
2002	55	15	1	2	1	3	0	0	5	4	2	99	2	1	192	1	9	1	2
2002	51	16	3	1	0	0	0	0	0	-1	1	10	3	0	193	23	9	2	2
2002	71	16	3	1	0	0	0	0	0	-1	1	1	3	0	194	17	9	1	1
2002	45	13	1	2	1	2	1	1	0	-1	1	6	2	0	195	23	9	1	1
2002	82	13	1	1	0	0	0	0	0	-1	2	7	2	0	196	22	9	1	1
2002	46	12	1	2	0	0	0	0	0	-1	1	6	2	0	197	23	9	1	1
2002	35	13	0	1	0	0	0	0	0	-1	2	99	1	0	198	19	9	1	1
2002	18	14	1	1	0	0	0	0	0	-1	1	99	2	0	199	22	9	1	1
2002	57	20	4	2	8	2	0	0	2	6	1	3	3	4	99	21	9	1	1
2002	23	2	0	2	0	0	0	0	0	-1	1	11	1	0	99	14	9	1	1
2002	32	12	1	1	8	2	1	2	4	6	1	99	2	2	99	21	9	 	1
2002	28	18	4	2	1	1	1	1	0	-1	1	9	3	0	99	23	9	1	1
2002	48	14	1	2	0	0	0	0	0	-1	1	99	2	0	99	19	9	1	1
2002	39	17	3	1	0	0	0	0	0	-1	1	98	3	0	99	22	9	1	1
2002	27	16	3	2	0	0	0	0	0	-1	1	12	3	0	99	22	9	 	2
2002	99	12	1	2	1	2	8	2	5	5	2	99	2	1	99	98	9	1	1
2002	57	14	2	1	1	3	0	0	4	6	1	12	2	2	99	18	9	1	1
2002	35	10	1	1	2	2	2	1	0	-1	2	11	2	0	99	9	9	1	1
2002	29	16	3	2	0	0	0	0	0	-1	1	4	3	0	99	23	9	1	1
2002	33	9	1	1	0	0	0	0	0	-1	2	99	2	0	99	12	9	 	 
2002	45	14	1	2	1	2	2	2	3	5	1	4	2	3	99	18	9	2	2
2002	74	13	1	1	8	2	0	0	2	2	2	5	2	4	99	10	9	 	 
2002	43	13	2	2	0	0	0	0	0	-1	1	7	2	0	99	17	9	1	1
2002	46	14	1	2	0	0	0	0	0	-1	2	5	2	0	99	18	9	1	1
2002	57	14	1	2	0	0	0	0	0	-1	1	1	2	0	99	12	9	1	1
2002	40	14	2	2	1	3	1	1	2	2	2	98	2	4	99	98	9	2	2
2002	43	16	3	2	0	0	0	0	0	-1	1	2	3	0	99	23	9	2	1
2002	41	14	1	2	0	0	0	0	0	-1	1	99	2	0	99	22	9	1	1
2002	37	16	3	1	1	1	1	1	1	2	1	10	3	5	99	23	9	1	1
2002	22	14	1	1	0	0	0	0	0	-1	1	4	2	0	99	23	9	1	1
2002	50	15	1	1	0	0	0	0	0	-1	1	5	2	0	99	23	9	2	2
